id,question,answer,image_source,category,response
18,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000211674,adversarial,yes
19,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000211674,adversarial,yes
20,"Which is true? There is no potted plant in the image. Or, yes, there is a potted plant in the image.",yes,COCO_val2014_000000211674,adversarial,yes
21,"Which is true? There is no vase in the image. Or, yes, there is a vase in the image.",no,COCO_val2014_000000211674,adversarial,yes
22,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",yes,COCO_val2014_000000211674,adversarial,no
23,"Which is true? There is no truck in the image. Or, yes, there is a truck in the image.",no,COCO_val2014_000000211674,adversarial,no
24,"Which is true? There is no traffic light in the image. Or, yes, there is a traffic light in the image.",yes,COCO_val2014_000000458338,adversarial,no
25,"Which is true? There is no bus in the image. Or, yes, there is a bus in the image.",no,COCO_val2014_000000458338,adversarial,yes
26,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000458338,adversarial,yes
27,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000458338,adversarial,yes
28,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",yes,COCO_val2014_000000458338,adversarial,yes
29,"Which is true? There is no truck in the image. Or, yes, there is a truck in the image.",no,COCO_val2014_000000458338,adversarial,yes
30,"Which is true? There is no dog in the image. Or, yes, there is a dog in the image.",yes,COCO_val2014_000000283412,adversarial,yes
31,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",no,COCO_val2014_000000283412,adversarial,yes
32,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",yes,COCO_val2014_000000283412,adversarial,no
33,"Which is true? There is no chair in the image. Or, yes, there is a chair in the image.",no,COCO_val2014_000000283412,adversarial,yes
34,"Which is true? There is no bed in the image. Or, yes, there is a bed in the image.",yes,COCO_val2014_000000283412,adversarial,yes
35,"Which is true? There is no book in the image. Or, yes, there is a book in the image.",no,COCO_val2014_000000283412,adversarial,yes
36,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000265719,adversarial,yes
37,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000265719,adversarial,no
38,"Which is true? There is no spoon in the image. Or, yes, there is a spoon in the image.",yes,COCO_val2014_000000265719,adversarial,yes
39,"Which is true? There is no cup in the image. Or, yes, there is a cup in the image.",no,COCO_val2014_000000265719,adversarial,yes
40,"Which is true? There is no fork in the image. Or, yes, there is a fork in the image.",yes,COCO_val2014_000000265719,adversarial,yes
41,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000265719,adversarial,no
42,"Which is true? There is no tv in the image. Or, yes, there is a tv in the image.",yes,COCO_val2014_000000461331,adversarial,yes
43,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",no,COCO_val2014_000000461331,adversarial,yes
44,"Which is true? There is no toaster in the image. Or, yes, there is a toaster in the image.",yes,COCO_val2014_000000461331,adversarial,no
45,"Which is true? There is no book in the image. Or, yes, there is a book in the image.",no,COCO_val2014_000000461331,adversarial,yes
46,"Which is true? There is no microwave in the image. Or, yes, there is a microwave in the image.",yes,COCO_val2014_000000461331,adversarial,yes
47,"Which is true? There is no bottle in the image. Or, yes, there is a bottle in the image.",no,COCO_val2014_000000461331,adversarial,no
48,"Which is true? There is no backpack in the image. Or, yes, there is a backpack in the image.",yes,COCO_val2014_000000544456,adversarial,yes
49,"Which is true? There is no handbag in the image. Or, yes, there is a handbag in the image.",no,COCO_val2014_000000544456,adversarial,no
50,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000544456,adversarial,yes
51,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000544456,adversarial,yes
52,"Which is true? There is no skis in the image. Or, yes, there is a skis in the image.",yes,COCO_val2014_000000544456,adversarial,no
53,"Which is true? There is no snowboard in the image. Or, yes, there is a snowboard in the image.",no,COCO_val2014_000000544456,adversarial,yes
54,"Which is true? There is no bird in the image. Or, yes, there is a bird in the image.",yes,COCO_val2014_000000017708,adversarial,yes
55,"Which is true? There is no handbag in the image. Or, yes, there is a handbag in the image.",no,COCO_val2014_000000017708,adversarial,no
56,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000017708,adversarial,yes
57,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000017708,adversarial,no
58,"Which is true? There is no boat in the image. Or, yes, there is a boat in the image.",yes,COCO_val2014_000000017708,adversarial,yes
59,"Which is true? There is no chair in the image. Or, yes, there is a chair in the image.",no,COCO_val2014_000000017708,adversarial,yes
60,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000574692,adversarial,yes
61,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000574692,adversarial,yes
62,"Which is true? There is no orange in the image. Or, yes, there is a orange in the image.",yes,COCO_val2014_000000574692,adversarial,yes
63,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000574692,adversarial,no
64,"Which is true? There is no bottle in the image. Or, yes, there is a bottle in the image.",yes,COCO_val2014_000000574692,adversarial,yes
65,"Which is true? There is no cup in the image. Or, yes, there is a cup in the image.",no,COCO_val2014_000000574692,adversarial,yes
66,"Which is true? There is no backpack in the image. Or, yes, there is a backpack in the image.",yes,COCO_val2014_000000353180,adversarial,yes
67,"Which is true? There is no handbag in the image. Or, yes, there is a handbag in the image.",no,COCO_val2014_000000353180,adversarial,yes
68,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000353180,adversarial,yes
69,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000353180,adversarial,yes
70,"Which is true? There is no bus in the image. Or, yes, there is a bus in the image.",yes,COCO_val2014_000000353180,adversarial,yes
71,"Which is true? There is no traffic light in the image. Or, yes, there is a traffic light in the image.",no,COCO_val2014_000000353180,adversarial,yes
72,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000239444,adversarial,yes
73,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000239444,adversarial,yes
74,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",yes,COCO_val2014_000000239444,adversarial,yes
75,"Which is true? There is no cup in the image. Or, yes, there is a cup in the image.",no,COCO_val2014_000000239444,adversarial,yes
76,"Which is true? There is no chair in the image. Or, yes, there is a chair in the image.",yes,COCO_val2014_000000239444,adversarial,yes
77,"Which is true? There is no couch in the image. Or, yes, there is a couch in the image.",no,COCO_val2014_000000239444,adversarial,yes
78,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000569839,adversarial,yes
79,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000569839,adversarial,yes
80,"Which is true? There is no sandwich in the image. Or, yes, there is a sandwich in the image.",yes,COCO_val2014_000000569839,adversarial,yes
81,"Which is true? There is no bowl in the image. Or, yes, there is a bowl in the image.",no,COCO_val2014_000000569839,adversarial,no
82,"Which is true? There is no hot dog in the image. Or, yes, there is a hot dog in the image.",yes,COCO_val2014_000000569839,adversarial,yes
83,"Which is true? There is no handbag in the image. Or, yes, there is a handbag in the image.",no,COCO_val2014_000000569839,adversarial,no
84,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000219622,adversarial,yes
85,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000219622,adversarial,no
86,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",yes,COCO_val2014_000000219622,adversarial,yes
87,"Which is true? There is no truck in the image. Or, yes, there is a truck in the image.",no,COCO_val2014_000000219622,adversarial,no
88,"Which is true? There is no frisbee in the image. Or, yes, there is a frisbee in the image.",yes,COCO_val2014_000000219622,adversarial,yes
89,"Which is true? There is no dog in the image. Or, yes, there is a dog in the image.",no,COCO_val2014_000000219622,adversarial,no
90,"Which is true? There is no knife in the image. Or, yes, there is a knife in the image.",yes,COCO_val2014_000000300368,adversarial,no
91,"Which is true? There is no cup in the image. Or, yes, there is a cup in the image.",no,COCO_val2014_000000300368,adversarial,yes
92,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000300368,adversarial,yes
93,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000300368,adversarial,no
94,"Which is true? There is no cake in the image. Or, yes, there is a cake in the image.",yes,COCO_val2014_000000300368,adversarial,no
95,"Which is true? There is no bottle in the image. Or, yes, there is a bottle in the image.",no,COCO_val2014_000000300368,adversarial,no
96,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000482476,adversarial,yes
97,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000482476,adversarial,yes
98,"Which is true? There is no remote in the image. Or, yes, there is a remote in the image.",yes,COCO_val2014_000000482476,adversarial,no
99,"Which is true? There is no tv in the image. Or, yes, there is a tv in the image.",no,COCO_val2014_000000482476,adversarial,yes
100,"Which is true? There is no handbag in the image. Or, yes, there is a handbag in the image.",yes,COCO_val2014_000000482476,adversarial,no
101,"Which is true? There is no backpack in the image. Or, yes, there is a backpack in the image.",no,COCO_val2014_000000482476,adversarial,yes
102,"Which is true? There is no baseball glove in the image. Or, yes, there is a baseball glove in the image.",yes,COCO_val2014_000000131115,adversarial,yes
103,"Which is true? There is no sports ball in the image. Or, yes, there is a sports ball in the image.",no,COCO_val2014_000000131115,adversarial,yes
104,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000131115,adversarial,yes
105,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000131115,adversarial,yes
106,"Which is true? There is no baseball bat in the image. Or, yes, there is a baseball bat in the image.",yes,COCO_val2014_000000131115,adversarial,yes
107,"Which is true? There is no bench in the image. Or, yes, there is a bench in the image.",no,COCO_val2014_000000131115,adversarial,yes
108,"Which is true? There is no sink in the image. Or, yes, there is a sink in the image.",yes,COCO_val2014_000000157084,adversarial,yes
109,"Which is true? There is no bottle in the image. Or, yes, there is a bottle in the image.",no,COCO_val2014_000000157084,adversarial,no
110,"Which is true? There is no bench in the image. Or, yes, there is a bench in the image.",yes,COCO_val2014_000000157084,adversarial,yes
111,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",no,COCO_val2014_000000157084,adversarial,yes
112,"Which is true? There is no toilet in the image. Or, yes, there is a toilet in the image.",yes,COCO_val2014_000000157084,adversarial,yes
113,"Which is true? There is no vase in the image. Or, yes, there is a vase in the image.",no,COCO_val2014_000000157084,adversarial,no
114,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000381895,adversarial,yes
115,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000381895,adversarial,yes
116,"Which is true? There is no teddy bear in the image. Or, yes, there is a teddy bear in the image.",yes,COCO_val2014_000000381895,adversarial,yes
117,"Which is true? There is no bed in the image. Or, yes, there is a bed in the image.",no,COCO_val2014_000000381895,adversarial,yes
118,"Which is true? There is no bear in the image. Or, yes, there is a bear in the image.",yes,COCO_val2014_000000381895,adversarial,yes
119,"Which is true? There is no couch in the image. Or, yes, there is a couch in the image.",no,COCO_val2014_000000381895,adversarial,no
120,"Which is true? There is no bowl in the image. Or, yes, there is a bowl in the image.",yes,COCO_val2014_000000336872,adversarial,no
121,"Which is true? There is no cup in the image. Or, yes, there is a cup in the image.",no,COCO_val2014_000000336872,adversarial,yes
122,"Which is true? There is no spoon in the image. Or, yes, there is a spoon in the image.",yes,COCO_val2014_000000336872,adversarial,yes
123,"Which is true? There is no bottle in the image. Or, yes, there is a bottle in the image.",no,COCO_val2014_000000336872,adversarial,no
124,"Which is true? There is no sandwich in the image. Or, yes, there is a sandwich in the image.",yes,COCO_val2014_000000336872,adversarial,no
125,"Which is true? There is no fork in the image. Or, yes, there is a fork in the image.",no,COCO_val2014_000000336872,adversarial,yes
126,"Which is true? There is no bed in the image. Or, yes, there is a bed in the image.",yes,COCO_val2014_000000075591,adversarial,yes
127,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",no,COCO_val2014_000000075591,adversarial,yes
128,"Which is true? There is no cat in the image. Or, yes, there is a cat in the image.",yes,COCO_val2014_000000075591,adversarial,yes
129,"Which is true? There is no couch in the image. Or, yes, there is a couch in the image.",no,COCO_val2014_000000075591,adversarial,no
130,"Which is true? There is no book in the image. Or, yes, there is a book in the image.",yes,COCO_val2014_000000075591,adversarial,yes
131,"Which is true? There is no tv in the image. Or, yes, there is a tv in the image.",no,COCO_val2014_000000075591,adversarial,yes
132,"Which is true? There is no tv in the image. Or, yes, there is a tv in the image.",yes,COCO_val2014_000000516916,adversarial,no
133,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",no,COCO_val2014_000000516916,adversarial,no
134,"Which is true? There is no mouse in the image. Or, yes, there is a mouse in the image.",yes,COCO_val2014_000000516916,adversarial,yes
135,"Which is true? There is no book in the image. Or, yes, there is a book in the image.",no,COCO_val2014_000000516916,adversarial,no
136,"Which is true? There is no laptop in the image. Or, yes, there is a laptop in the image.",yes,COCO_val2014_000000516916,adversarial,yes
137,"Which is true? There is no bottle in the image. Or, yes, there is a bottle in the image.",no,COCO_val2014_000000516916,adversarial,no
138,"Which is true? There is no sink in the image. Or, yes, there is a sink in the image.",yes,COCO_val2014_000000542145,adversarial,yes
139,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",no,COCO_val2014_000000542145,adversarial,yes
140,"Which is true? There is no toothbrush in the image. Or, yes, there is a toothbrush in the image.",yes,COCO_val2014_000000542145,adversarial,yes
141,"Which is true? There is no cup in the image. Or, yes, there is a cup in the image.",no,COCO_val2014_000000542145,adversarial,yes
142,"Which is true? There is no bottle in the image. Or, yes, there is a bottle in the image.",yes,COCO_val2014_000000542145,adversarial,yes
143,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000542145,adversarial,no
144,"Which is true? There is no truck in the image. Or, yes, there is a truck in the image.",yes,COCO_val2014_000000218224,adversarial,no
145,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",no,COCO_val2014_000000218224,adversarial,yes
146,"Which is true? There is no airplane in the image. Or, yes, there is a airplane in the image.",yes,COCO_val2014_000000218224,adversarial,yes
147,"Which is true? There is no backpack in the image. Or, yes, there is a backpack in the image.",no,COCO_val2014_000000218224,adversarial,no
148,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",yes,COCO_val2014_000000218224,adversarial,yes
149,"Which is true? There is no bus in the image. Or, yes, there is a bus in the image.",no,COCO_val2014_000000218224,adversarial,no
150,"Which is true? There is no backpack in the image. Or, yes, there is a backpack in the image.",yes,COCO_val2014_000000297078,adversarial,yes
151,"Which is true? There is no handbag in the image. Or, yes, there is a handbag in the image.",no,COCO_val2014_000000297078,adversarial,no
152,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000297078,adversarial,yes
153,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000297078,adversarial,yes
154,"Which is true? There is no skis in the image. Or, yes, there is a skis in the image.",yes,COCO_val2014_000000297078,adversarial,yes
155,"Which is true? There is no snowboard in the image. Or, yes, there is a snowboard in the image.",no,COCO_val2014_000000297078,adversarial,yes
156,"Which is true? There is no tv in the image. Or, yes, there is a tv in the image.",yes,COCO_val2014_000000033270,adversarial,yes
157,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000033270,adversarial,no
158,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000033270,adversarial,yes
159,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000033270,adversarial,yes
160,"Which is true? There is no couch in the image. Or, yes, there is a couch in the image.",yes,COCO_val2014_000000033270,adversarial,yes
161,"Which is true? There is no chair in the image. Or, yes, there is a chair in the image.",no,COCO_val2014_000000033270,adversarial,yes
162,"Which is true? There is no truck in the image. Or, yes, there is a truck in the image.",yes,COCO_val2014_000000140583,adversarial,yes
163,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000140583,adversarial,yes
164,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000140583,adversarial,yes
165,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000140583,adversarial,yes
166,"Which is true? There is no cow in the image. Or, yes, there is a cow in the image.",yes,COCO_val2014_000000140583,adversarial,yes
167,"Which is true? There is no bicycle in the image. Or, yes, there is a bicycle in the image.",no,COCO_val2014_000000140583,adversarial,yes
168,"Which is true? There is no dog in the image. Or, yes, there is a dog in the image.",yes,COCO_val2014_000000421455,adversarial,yes
169,"Which is true? There is no frisbee in the image. Or, yes, there is a frisbee in the image.",no,COCO_val2014_000000421455,adversarial,yes
170,"Which is true? There is no truck in the image. Or, yes, there is a truck in the image.",yes,COCO_val2014_000000421455,adversarial,yes
171,"Which is true? There is no traffic light in the image. Or, yes, there is a traffic light in the image.",no,COCO_val2014_000000421455,adversarial,no
172,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000421455,adversarial,yes
173,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000421455,adversarial,yes
174,"Which is true? There is no sink in the image. Or, yes, there is a sink in the image.",yes,COCO_val2014_000000288639,adversarial,yes
175,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",no,COCO_val2014_000000288639,adversarial,yes
176,"Which is true? There is no toothbrush in the image. Or, yes, there is a toothbrush in the image.",yes,COCO_val2014_000000288639,adversarial,yes
177,"Which is true? There is no cup in the image. Or, yes, there is a cup in the image.",no,COCO_val2014_000000288639,adversarial,yes
178,"Which is true? There is no bottle in the image. Or, yes, there is a bottle in the image.",yes,COCO_val2014_000000288639,adversarial,yes
179,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000288639,adversarial,no
180,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000291936,adversarial,yes
181,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000291936,adversarial,yes
182,"Which is true? There is no bicycle in the image. Or, yes, there is a bicycle in the image.",yes,COCO_val2014_000000291936,adversarial,yes
183,"Which is true? There is no motorcycle in the image. Or, yes, there is a motorcycle in the image.",no,COCO_val2014_000000291936,adversarial,no
184,"Which is true? There is no umbrella in the image. Or, yes, there is a umbrella in the image.",yes,COCO_val2014_000000291936,adversarial,yes
185,"Which is true? There is no handbag in the image. Or, yes, there is a handbag in the image.",no,COCO_val2014_000000291936,adversarial,no
186,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000063953,adversarial,yes
187,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000063953,adversarial,no
188,"Which is true? There is no bicycle in the image. Or, yes, there is a bicycle in the image.",yes,COCO_val2014_000000063953,adversarial,no
189,"Which is true? There is no motorcycle in the image. Or, yes, there is a motorcycle in the image.",no,COCO_val2014_000000063953,adversarial,no
190,"Which is true? There is no skateboard in the image. Or, yes, there is a skateboard in the image.",yes,COCO_val2014_000000063953,adversarial,yes
191,"Which is true? There is no bench in the image. Or, yes, there is a bench in the image.",no,COCO_val2014_000000063953,adversarial,yes
192,"Which is true? There is no laptop in the image. Or, yes, there is a laptop in the image.",yes,COCO_val2014_000000526321,adversarial,yes
193,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",no,COCO_val2014_000000526321,adversarial,yes
194,"Which is true? There is no remote in the image. Or, yes, there is a remote in the image.",yes,COCO_val2014_000000526321,adversarial,yes
195,"Which is true? There is no couch in the image. Or, yes, there is a couch in the image.",no,COCO_val2014_000000526321,adversarial,no
196,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",yes,COCO_val2014_000000526321,adversarial,no
197,"Which is true? There is no cup in the image. Or, yes, there is a cup in the image.",no,COCO_val2014_000000526321,adversarial,yes
198,"Which is true? There is no snowboard in the image. Or, yes, there is a snowboard in the image.",yes,COCO_val2014_000000042190,adversarial,yes
199,"Which is true? There is no skis in the image. Or, yes, there is a skis in the image.",no,COCO_val2014_000000042190,adversarial,no
200,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000042190,adversarial,yes
201,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000042190,adversarial,yes
202,"Which is true? There is no surfboard in the image. Or, yes, there is a surfboard in the image.",yes,COCO_val2014_000000042190,adversarial,yes
203,"Which is true? There is no umbrella in the image. Or, yes, there is a umbrella in the image.",no,COCO_val2014_000000042190,adversarial,no
204,"Which is true? There is no bird in the image. Or, yes, there is a bird in the image.",yes,COCO_val2014_000000553165,adversarial,yes
205,"Which is true? There is no handbag in the image. Or, yes, there is a handbag in the image.",no,COCO_val2014_000000553165,adversarial,no
206,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000553165,adversarial,no
207,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000553165,adversarial,no
208,"Which is true? There is no boat in the image. Or, yes, there is a boat in the image.",yes,COCO_val2014_000000553165,adversarial,yes
209,"Which is true? There is no chair in the image. Or, yes, there is a chair in the image.",no,COCO_val2014_000000553165,adversarial,no
210,"Which is true? There is no dog in the image. Or, yes, there is a dog in the image.",yes,COCO_val2014_000000170517,adversarial,yes
211,"Which is true? There is no truck in the image. Or, yes, there is a truck in the image.",no,COCO_val2014_000000170517,adversarial,no
212,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000170517,adversarial,yes
213,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000170517,adversarial,no
214,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",yes,COCO_val2014_000000170517,adversarial,no
215,"Which is true? There is no bus in the image. Or, yes, there is a bus in the image.",no,COCO_val2014_000000170517,adversarial,no
216,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000498759,adversarial,yes
217,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000498759,adversarial,yes
218,"Which is true? There is no skateboard in the image. Or, yes, there is a skateboard in the image.",yes,COCO_val2014_000000498759,adversarial,yes
219,"Which is true? There is no bicycle in the image. Or, yes, there is a bicycle in the image.",no,COCO_val2014_000000498759,adversarial,yes
220,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",yes,COCO_val2014_000000498759,adversarial,yes
221,"Which is true? There is no truck in the image. Or, yes, there is a truck in the image.",no,COCO_val2014_000000498759,adversarial,no
222,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000360600,adversarial,yes
223,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000360600,adversarial,yes
224,"Which is true? There is no fork in the image. Or, yes, there is a fork in the image.",yes,COCO_val2014_000000360600,adversarial,yes
225,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000360600,adversarial,yes
226,"Which is true? There is no knife in the image. Or, yes, there is a knife in the image.",yes,COCO_val2014_000000360600,adversarial,yes
227,"Which is true? There is no spoon in the image. Or, yes, there is a spoon in the image.",no,COCO_val2014_000000360600,adversarial,yes
228,"Which is true? There is no tv in the image. Or, yes, there is a tv in the image.",yes,COCO_val2014_000000031773,adversarial,yes
229,"Which is true? There is no chair in the image. Or, yes, there is a chair in the image.",no,COCO_val2014_000000031773,adversarial,yes
230,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000031773,adversarial,yes
231,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000031773,adversarial,yes
232,"Which is true? There is no mouse in the image. Or, yes, there is a mouse in the image.",yes,COCO_val2014_000000031773,adversarial,yes
233,"Which is true? There is no cell phone in the image. Or, yes, there is a cell phone in the image.",no,COCO_val2014_000000031773,adversarial,yes
234,"Which is true? There is no tv in the image. Or, yes, there is a tv in the image.",yes,COCO_val2014_000000500257,adversarial,yes
235,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000500257,adversarial,no
236,"Which is true? There is no backpack in the image. Or, yes, there is a backpack in the image.",yes,COCO_val2014_000000500257,adversarial,no
237,"Which is true? There is no handbag in the image. Or, yes, there is a handbag in the image.",no,COCO_val2014_000000500257,adversarial,yes
238,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000500257,adversarial,yes
239,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000500257,adversarial,yes
240,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",yes,COCO_val2014_000000574057,adversarial,yes
241,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",no,COCO_val2014_000000574057,adversarial,yes
242,"Which is true? There is no train in the image. Or, yes, there is a train in the image.",yes,COCO_val2014_000000574057,adversarial,yes
243,"Which is true? There is no truck in the image. Or, yes, there is a truck in the image.",no,COCO_val2014_000000574057,adversarial,no
244,"Which is true? There is no bed in the image. Or, yes, there is a bed in the image.",yes,COCO_val2014_000000574057,adversarial,yes
245,"Which is true? There is no book in the image. Or, yes, there is a book in the image.",no,COCO_val2014_000000574057,adversarial,yes
